uniqueID,name,gender,partyName,year_elected
Beazley1948,"Beazley, Kim (Jr)",male,Australian Labor Party,1980
Beck1882,"Beck, Arthur",male,United Australia Party,1940
Beddall1948,"Beddall, David",male,Australian Labor Party,1983
Beddall1948,"Beddall, David",male,Australian Labor Party,1984
Beerworth1886,"Beerworth, Frederick",male,Australian Labor Party,NA
Bell1872,"Bell, George",male,Nationalist Party,1919
Bell1872,"Bell, George",male,Nationalist Party,1925
Bell1872,"Bell, George",male,United Australia Party,1919
Bell1872,"Bell, George",male,United Australia Party,1925
Bell1950,"Bell, Robert",male,Australian Democrats,NA
Bell1968,"Bell, Angie",female,Liberal Party of Australia,2019
Benn1897,"Benn, Archie",male,Australian Labor Party,NA
Bennett1872,"Bennett, Benjamin",male,Australian Labor Party,1912
Bennett1874,"Bennett, James",male,Liberal Party of Australia,1913
Bennett1933,"Bennett, Adrian",male,Australian Labor Party,1969
Benny1869,"Benny, Benjamin",male,Nationalist Party,NA
Benson1909,"Benson, Sam",male,Australian Labor Party,1962
Benson1909,"Benson, Sam",male,Independent,1962
Berinson1932,"Berinson, Joe",male,Australian Labor Party,1969
Bernardi1969,"Bernardi, Cory",male,Liberal Party of Australia,NA
Bernardi1969,"Bernardi, Cory",male,Independent,NA
Bernardi1969,"Bernardi, Cory",male,Australian Conservative Party,NA
Berry1907,"Berry, Doug",male,Liberal Party of Australia,1949
Bessell1923,"Bessell, Eric",male,Liberal Party of Australia,NA
Best1856,"Best, Robert",male,Liberal Party of Australia,1910
Best1856,"Best, Robert",male,Nationalist Party,1910
Best1856,"Best, Robert",male,Protectionist Party,1910
Bevis1955,"Bevis, Arch",male,Australian Labor Party,1990
Bidgood1959,"Bidgood, James",male,Australian Labor Party,2007
Billson1966,"Billson, Bruce",male,Liberal Party of Australia,1996
Bilney1939,"Bilney, Gordon",male,Australian Labor Party,1983
Bilyk1959,"Bilyk, Catryna",female,Australian Labor Party,NA
Bird1906,"Bird, Alan",male,Australian Labor Party,1949
Bird1962,"Bird, Sharon",female,Australian Labor Party,2004
Birmingham1974,"Birmingham, Simon",male,Liberal Party of Australia,NA
Birney1928,"Birney, Jack",male,Liberal Party of Australia,1975
Birrell1913,"Birrell, Fred",male,Australian Labor Party,1963
Bishop1913,"Bishop, Reg",male,Australian Labor Party,NA
Bishop1942,"Bishop, Bronwyn",female,Liberal Party of Australia,1994
Bishop1954,"Bishop, Mark",male,Australian Labor Party,NA
Bishop1956,"Bishop, Julie",female,Liberal Party of Australia,1998
BjelkePetersen1920,"Bjelke-Petersen, Florence",female,National Country Party,NA
BjelkePetersen1920,"Bjelke-Petersen, Florence",female,National Party of Australia,NA
Black1952,"Black, John",male,Australian Labor Party,NA
Blackburn1880,"Blackburn, Maurice",male,Australian Labor Party,1934
Blackburn1880,"Blackburn, Maurice",male,Federal Labor Party,1934
Blackburn1880,"Blackburn, Maurice",male,Independent Labor,1934
Blackburn1889,"Blackburn, Doris",female,Independent Labor,1946
Blacklow1879,"Blacklow, Archibald",male,United Australia Party,1931
Blackwood1861,"Blackwood, Robert",male,Free Trade,1903
Blain1894,"Blain, Adair",male,Independent,1934
Blakeley1886,"Blakeley, Arthur",male,Australian Labor Party,1917
Blakeley1886,"Blakeley, Arthur",male,Federal Labor Party,1917
Blakey1879,"Blakey, Albert",male,Australian Labor Party,NA
Blanchard1929,"Blanchard, Allen",male,Australian Labor Party,1983
Bland1882,"Bland, Francis",male,Liberal Party of Australia,1951
Blewett1933,"Blewett, Neal",male,Australian Labor Party,1977
Blundell1871,"Blundell, Reginald",male,Nationalist Party,1919
Blunt1951,"Blunt, Charles",male,National Party of Australia,1984
Bolkus1950,"Bolkus, Nick",male,Australian Labor Party,NA
Bolton1860,"Bolton, William",male,Nationalist Party,NA
Bonner1922,"Bonner, Neville",male,Independent,NA
Bonner1922,"Bonner, Neville",male,Liberal Party of Australia,NA
Bonnett1916,"Bonnett, Robert",male,Liberal Party of Australia,1966
Bonython1848,"Bonython, John",male,Protectionist Party,1903
Bonython1848,"Bonython, John",male,Protectionist Party,1901
Bosman1924,"Bosman, Len",male,Liberal Party of Australia,1963
Bostock1892,"Bostock, William",male,Liberal Party of Australia,1949
Boswell1940,"Boswell, Ron",male,The Nationals,NA
Boswell1940,"Boswell, Ron",male,National Party of Australia,NA
Bourchier1929,"Bourchier, John",male,Liberal Party of Australia,1972
Bourke1913,"Bourke, Bill",male,Australian Labor Party,1949
Bourke1913,"Bourke, Bill",male,Australian Labor Party (Anti-Communist),1949
Bourne1954,"Bourne, Vicki",female,Australian Democrats,NA
Bowden1871,"Bowden, Eric",male,Anti-Socialist Party,1906
Bowden1871,"Bowden, Eric",male,Anti-Socialist Party,1919
Bowden1871,"Bowden, Eric",male,Anti-Socialist Party,1922
Bowden1871,"Bowden, Eric",male,Nationalist Party,1906
Bowden1871,"Bowden, Eric",male,Nationalist Party,1919
Bowden1871,"Bowden, Eric",male,Nationalist Party,1922
Bowden1888,"Bowden, George",male,Australian Country Party,1943
Bowen1911,"Bowen, Nigel",male,Liberal Party of Australia,1964
Bowen1922,"Bowen, Lionel",male,Australian Labor Party,1969
Bowen1973,"Bowen, Chris",male,Australian Labor Party,2010
Bowen1973,"Bowen, Chris",male,Australian Labor Party,2004
Boyce1951,"Boyce, Sue",female,Liberal Party of Australia,NA
Boyd1867,"Boyd, James",male,Liberal Party of Australia,1913
Boyd1867,"Boyd, James",male,Nationalist Party,1913
Bradbury1976,"Bradbury, David",male,Australian Labor Party,2007
Braddon1829,"Braddon, Edward",male,Free Trade,1901
Braddon1829,"Braddon, Edward",male,Free Trade,1903
Bradfield1933,"Bradfield, Jim",male,Liberal Party of Australia,1975
Bradford1946,"Bradford, John",male,Christian Democratic Party,1990
Bradford1946,"Bradford, John",male,Liberal Party of Australia,1990
Bragg1984,"Bragg, Andrew",male,Liberal Party of Australia,NA
Braithwaite1933,"Braithwaite, Ray",male,National Country Party,1975
Braithwaite1933,"Braithwaite, Ray",male,National Party of Australia,1975
Brand1873,"Brand, Charles",male,Liberal Party of Australia,NA
Brand1873,"Brand, Charles",male,United Australia Party,NA
Brand1888,"Brand, William",male,Australian Country Party,1954
Brandis1957,"Brandis, George",male,Liberal Party of Australia,NA
Branson1918,"Branson, George",male,Liberal Party of Australia,NA
Breen1898,"Breen, John",male,Australian Labor Party,1940
Breen1902,"Breen, Marie",female,Liberal Party of Australia,NA
Brennan1866,"Brennan, Tom",male,United Australia Party,NA
Brennan1873,"Brennan, Frank",male,Australian Labor Party,1911
Brennan1873,"Brennan, Frank",male,Australian Labor Party,1934
Brennan1873,"Brennan, Frank",male,Australian Labor Party,1911
Brennan1873,"Brennan, Frank",male,Australian Labor Party,1934
Brennan1873,"Brennan, Frank",male,Federal Labor Party,1911
Brennan1873,"Brennan, Frank",male,Federal Labor Party,1934
Brereton1946,"Brereton, Laurie",male,Australian Labor Party,1990
BridgesMaxwell1929,"Bridges-Maxwell, William",male,Liberal Party of Australia,1964
Briggs1977,"Briggs, Jamie",male,Liberal Party of Australia,2008
Brimblecombe1898,"Brimblecombe, Wilfred",male,Australian Country Party,1951
Broad1975,"Broad, Andrew",male,The Nationals,2013
Broadbent1950,"Broadbent, Russell",male,Liberal Party of Australia,1990
