uniqueID,partyAbbrev,partyName,partySimplifiedName
Johnson1929,ALP,Australian Labor Party,Labor
Johnson1943,LIB,Liberal Party of Australia,Liberals
Johnson1970,IND,Independent,Independent
Johnson1970,LIB,Liberal Party of Australia,Liberals
Johnston1880,CP,Australian Country Party,Nationals
Johnston1930,LIB,Liberal Party of Australia,Liberals
Johnston1943,LIB,Liberal Party of Australia,Liberals
Johnston1956,LIB,Liberal Party of Australia,Liberals
Jolley1874,ALP,Australian Labor Party,Labor
Jolly1882,UAP,United Australia Party,United Australia Party
Jones1878,ALP,Australian Labor Party,Labor
Jones1917,ALP,Australian Labor Party,Labor
Jones1944,LIB,Liberal Party of Australia,Liberals
Jones1960,LIB,Liberal Party of Australia,Liberals
Jones1965,ALP,Australian Labor Party,Labor
JonesBarry1932,ALP,Australian Labor Party,Labor
JonesGerry1932,ALP,Australian Labor Party,Labor
Joshua1906,ALP,Australian Labor Party,Labor
Joshua1906,ALP (A-C),Australian Labor Party (Anti-Communist),Australian Labor Party (Anti-Communist)
Joske1895,LIB,Liberal Party of Australia,Liberals
Jowett1858,CP,Australian Country Party,Nationals
Jowett1858,NAT,Nationalist Party,Nationalist Party
Jowett1858,VFU,Victorian Farmers Union,Victorian Farmers Union
Joyce1967,NP,The Nationals,The Nationals
Jull1944,LIB,Liberal Party of Australia,Liberals
KakoschkeMoore1985,NXT,Nick Xenophon Team,Nick Xenophon Team
Kane1908,DLP,Democratic Labor Party,Democratic Labor Party
Katter1918,CP,Australian Country Party,Nationals
Katter1918,NCP,National Country Party,Nationals
Katter1918,NPA,National Party of Australia,Nationals
Katter1945,IND,Independent,Independent
Katter1945,KAP,Katters Australian Party,Katters Australian Party
Katter1945,NPA,National Party of Australia,Nationals
Katz1887,ALP,Australian Labor Party,Labor
Keane1881,ALP,Australian Labor Party,Labor
Kearney1903,ALP,Australian Labor Party,Labor
Kearney1963,ALP,Australian Labor Party,Labor
Keating1872,LIB,Liberal Party of Australia,Liberal Party of Australia
Keating1872,PROT,Protectionist Party,Protectionist Party
Keating1944,ALP,Australian Labor Party,Labor
Keay1975,ALP,Australian Labor Party,Labor
Keeffe1919,ALP,Australian Labor Party,Labor
Keenan1972,LIB,Liberal Party of Australia,Liberals
Kekwick1910,LIB,Liberal Party of Australia,Liberals
Kelly1877,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Kelly1877,FT,Free Trade,Free Trade
Kelly1877,LIB,Liberal Party of Australia,Liberal Party of Australia
Kelly1877,NAT,Nationalist Party,Nationalist Party
Kelly1912,LIB,Liberal Party of Australia,Liberals
Kelly1948,ALP,Australian Labor Party,Labor
Kelly1954,NP,The Nationals,Nationals
Kelly1954,NPA,National Party of Australia,Nationals
Kelly1960,ALP,Australian Labor Party,Labor
Kelly1963,LIB,Liberal Party of Australia,Liberals
Kelly1964,LIB,Liberal Party of Australia,Liberals
Kemp1941,LIB,Liberal Party of Australia,Liberals
Kemp1944,LIB,Liberal Party of Australia,Liberals
Kendall1899,LIB,Liberal Party of Australia,Liberals
Kendell1851,LIB,Liberal Party of Australia,Liberals
Keneally1968,ALP,Australian Labor Party,Labor
Kennedy1860,PROT,Protectionist Party,Protectionist Party
Kennedy1940,ALP,Australian Labor Party,Labor
Kennelly1900,ALP,Australian Labor Party,Labor
Kent1927,ALP,Australian Labor Party,Labor
